Código Municipio;Municipio ;Código Departamento;Departamento;Actividades primarias *;Actividades secundarias **;Actividades terciarias ***;"Valor agregado
";Peso relativo municipal en el valor agregado departamental (%)
91407;LA PEDRERA;91;Amazonas;1.241596614;0.699839103;24.03567868;25.9771144; 2.3 
91430;LA VICTORIA;91;Amazonas;0.012843234;0.112909864;4.065799;4.191552097; 0.4 
91460;MIRITI - PARANA;91;Amazonas;0.036469392;0.231120953;8.32249112;8.590081466; 0.7 
91530;PUERTO ALEGRIA;91;Amazonas;0.948845013;0.231529446;7.40331696;8.583691419; 0.7 
91536;PUERTO ARICA;91;Amazonas;0.020217984;0.199059921;6.268656951;6.487934855; 0.6 
91540;PUERTO NARIÑO;91;Amazonas;38.44542353;2.85764092;64.65747935;105.9605438; 9.2 
91669;PUERTO SANTANDER;91;Amazonas;0.034389828;0.434274969;14.15603104;14.62469584; 1.3 
91798;TARAPACA;91;Amazonas;2.364886612;0.770279028;22.10139585;25.23656149; 2.2 
94001;INIRIDA;94;Guainia;78.99453633;50.28504444;265.3257198;394.6053005; 74.0 
94343;BARRANCO MINAS;94;Guainia;22.28506703;8.092244873;49.21252892;79.58984083; 14.9 
94883;SAN FELIPE;94;Guainia;0.039965083;0.978258566;8.603265168;9.621488817; 1.8 
94884;PUERTO COLOMBIA;94;Guainia;0.017184986;1.851290742;16.33956639;18.20804212; 3.4 
94885;LA GUADALUPE;94;Guainia;0.015986033;0.153793313;1.342827542;1.512606889; 0.3 
94886;CACAHUAL;94;Guainia;0.080329817;1.148259088;10.06490993;11.29349884; 2.1 
94887;PANA PANA;94;Guainia;0.004995635;1.298063364;11.46381325;12.76687225; 2.4 
94888;MORICHAL;94;Guainia;0.069938896;0.588042545;5.125606834;5.783588275; 1.1 
95001;SAN JOSE DEL GUAVIARE;95;Guaviare;167.4560268;63.34850948;594.3599401;825.1644764; 67.7 
95015;CALAMAR;95;Guaviare;50.53549341;7.173607828;70.30563221;128.0147334; 10.5 
95025;EL RETORNO;95;Guaviare;82.85452901;15.70748425;100.7726709;199.3346842; 16.4 
95200;MIRAFLORES;95;Guaviare;23.34416631;3.692357476;38.94204499;65.97856878; 5.4 
97001;MITU;97;Vaupes;22.25357834;26.02029097;276.8646327;325.138502; 78.9 
97161;CARURU;97;Vaupes;5.519367804;2.625737293;24.67670809;32.82181319; 8.0 
97511;PACOA;97;Vaupes;0.122340509;1.46746911;17.23691199;18.8267216; 4.6 
97666;TARAIRA;97;Vaupes;6.870137832;2.084780932;17.68441048;26.63932925; 6.5 
97777;PAPUNAUA;97;Vaupes;0.021473404;0.33921179;3.98438626;4.345071454; 1.1 
97889;YAVARATE;97;Vaupes;0.042578431;0.317249415;3.714179192;4.074007038; 1.0 
99001;PUERTO CARREÑO;99;Vichada;14.68735499;16.49101623;167.1677139;198.3460851; 19.3 
99524;LA PRIMAVERA;99;Vichada;125.9719127;15.46418549;63.44570606;204.8818042; 19.9 
99624;SANTA ROSALIA;99;Vichada;147.0310175;14.81537931;33.38896202;195.2353589; 19.0 
99773;CUMARIBO;99;Vichada;117.9277318;37.14102085;273.8702742;428.9390268; 41.7 
;;;;;;;;
Fuente: DANE, Cuentas nacionales;;;;;;;;
pprovisional;;;;;;;;
Nota: las actividades comprenden la siguiente desagregación:;;;;;;;;
"* Incluye las actividades de agricultura, ganadería, silvicultura y pesca; y explotación de minas y canteras";;;;;;;;
** Incluye las actividades de industrias manufactureras y construcción;;;;;;;;
"*** Incluye las actividades de electricidad, gas y agua; comercio; reparación de vehículos automotores; transporte; alojamiento y servicios de comida; información y comunicaciones; actividades financieras y de seguros; actividades inmobiliarias; actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo; administración pública ; educación; salud; actividades artísticas, de entretenimiento y recreación; actividades de los hogares individuales";;;;;;;;
Actualizado el 28 de marzo de 2025;;;;;;;;
