DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region;depa_nombre;muni_nombre;nombre_prestador;nit_prestador;clase_prestador;ese;naturaleza_juridica;caracter_territorial;nivel_atencion;nombre_sede_prestador;FECHA_RENOVACION_CICLO;FECHA_ULTIMA_ACREDITACION;fecha_vencimiento_acreditacion;fecha_generacion_este_reporte;field15;field16;field17;field18;field19;field20;field21;field22;field23;field24;field25;field26;field27;field28;field29;field30;field31;field32;field33;field34;field35;C�digo Municipio;Municipio:1;C�digo Departamento;Departamento:1;Actividades primarias *;Actividades secundarias **;Actividades terciarias ***;Valor agregado;Peso relativo municipal en el valor agregado departamental (%)
5;Antioquia;5467;MONTEBELLO;77.3710562;7062;0.654;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5467;MONTEBELLO;5;Antioquia;38.57858827;6.59525408;91.05126846;136.2251108;0.1
5;Antioquia;5475;MURINDO;1240.51642;5332;0.599;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5475;MURINDO;5;Antioquia;5.71071422;2.827278494;59.1764905;67.71448322;0
5;Antioquia;5480;MUTATA;988.4401838;15148;0.572;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5480;MUTATA;5;Antioquia;190.5781707;17.22856756;183.2241762;391.0309145;0.2
5;Antioquia;5483;NARI�O;348.3219109;10889;0.631;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5483;NARI�O;5;Antioquia;46.9350673;8.109845517;107.8187275;162.8636403;0.1
5;Antioquia;5483;NARI�O;348.3219109;10889;0.631;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25483;NARI�O;25;Cundinamarca;9.7201918;2.811006441;30.46922715;43.00042539;0
5;Antioquia;5483;NARI�O;348.3219109;10889;0.631;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52480;NARI�O;52;Nari�o;13.38074917;2.406667877;26.66001609;42.44743314;0.2
5;Antioquia;5490;NECOCLI;1156.610425;45834;0.681;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5490;NECOCLI;5;Antioquia;396.0610293;46.43507053;552.831476;995.3275759;0.5
5;Antioquia;5495;NECHI;877.7613888;28100;0.438;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5495;NECHI;5;Antioquia;50.03867493;18.27549091;306.4254813;374.7396472;0.2
5;Antioquia;5501;OLAYA;81.79883667;3350;0.87;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5501;OLAYA;5;Antioquia;19.47750168;3.179979138;43.58948589;66.24696671;0
5;Antioquia;5541;PE�OL;126.6477425;22736;0.421;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5541;PE�OL;5;Antioquia;470.6227269;37.15813059;280.685136;788.4659934;0.4
5;Antioquia;5543;PEQUE;460.6208451;8717;0.65;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5543;PEQUE;5;Antioquia;20.27652341;5.545049007;83.19934813;109.0209206;0.1
5;Antioquia;5576;PUEBLORRICO;78.93162349;9280;0.43;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5576;PUEBLORRICO;5;Antioquia;71.03585126;8.709832978;101.3679691;181.1136534;0.1
5;Antioquia;5579;PUERTO BERRIO;1174.803375;42468;0.128;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5579;PUERTO BERRIO;5;Antioquia;114.1219744;70.20894266;809.6814369;994.012354;0.5
5;Antioquia;5585;PUERTO NARE;707.4953415;15350;0.625;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5585;PUERTO NARE;5;Antioquia;177.2064275;61.61215276;453.0536298;691.8722101;0.3
5;Antioquia;5591;PUERTO TRIUNFO;359.0546379;19688;0.779;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5591;PUERTO TRIUNFO;5;Antioquia;35.20250908;35.80167816;251.522741;322.5269283;0.2
5;Antioquia;5604;REMEDIOS;1876.272694;30723;0.531;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5604;REMEDIOS;5;Antioquia;927.9027862;23.94904777;383.1378069;1334.989641;0.6
5;Antioquia;5607;RETIRO;227.5932815;25589;0.417;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5607;RETIRO;5;Antioquia;194.8445563;51.402515;600.5650156;846.8120869;0.4
5;Antioquia;5615;RIONEGRO;209.3295411;147907;0.34;Region Eje Cafetero;Antioquia;RIONEGRO;FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO;900261353;Instituciones Prestadoras de Servicios de Salud - IPS;;Privada;;;FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO;20250514;20211014;20251013;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;5615;RIONEGRO;5;Antioquia;108.2680672;2545.889831;3100.693264;5754.851163;2.7
5;Antioquia;5615;RIONEGRO;209.3295411;147907;0.34;Region Eje Cafetero;Antioquia;RIONEGRO;FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO;900261353;Instituciones Prestadoras de Servicios de Salud - IPS;;Privada;;;FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO;20250514;20211014;20251013;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;68615;RIONEGRO;68;Santander;1415.042725;98.01732559;341.1697468;1854.229797;2.2
5;Antioquia;5615;RIONEGRO;209.3295411;147907;0.34;Region Eje Cafetero;Antioquia;RIONEGRO;SOCIEDAD MEDICA RIONEGRO S.A. SOMER S.A.;890939936;Instituciones Prestadoras de Servicios de Salud - IPS;NO;Privada;;;SOCIEDAD MEDICA RIONEGRO S.A. SOMER S.A.;20251014;20220316;20260315;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;5615;RIONEGRO;5;Antioquia;108.2680672;2545.889831;3100.693264;5754.851163;2.7
5;Antioquia;5615;RIONEGRO;209.3295411;147907;0.34;Region Eje Cafetero;Antioquia;RIONEGRO;SOCIEDAD MEDICA RIONEGRO S.A. SOMER S.A.;890939936;Instituciones Prestadoras de Servicios de Salud - IPS;NO;Privada;;;SOCIEDAD MEDICA RIONEGRO S.A. SOMER S.A.;20251014;20220316;20260315;18/05/2025 8:24:24 p.m.;;;;;;;;;;;;;;;;;;;;;;68615;RIONEGRO;68;Santander;1415.042725;98.01732559;341.1697468;1854.229797;2.2
5;Antioquia;5628;SABANALARGA;292.2925521;9731;0.61;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5628;SABANALARGA;5;Antioquia;25.06760601;6.424098227;95.78804582;127.2797501;0.1
5;Antioquia;5628;SABANALARGA;292.2925521;9731;0.61;Region Eje Cafetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8638;SABANALARGA;8;Atlantico;297.9398077;53.54198192;936.3851944;1287.866984;2
